Altium Designer Pick and Place Locations
E:\Saniok\Lime Micro\Lime PCBs\LimeSDR_Mini_2v1\Altium Designer design files\Project Outputs for LimeSDR-Mini_2v1\Pick Place\Pick Place for LimeSDR-Mini_2v1_Rounded_panel.txt

========================================================================================================================
File Design Information:

Date:       02-05-22
Time:       10:56
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                   Layer       Footprint                      Center-X(mm) Center-Y(mm) Rotation Description                                                                                                               
FIDUCIAL7  Comment                   BottomLayer FIDUCIAL                       7.1999       148.2800     270      ""                                                                                                                        
FIDUCIAL8  Comment                   BottomLayer FIDUCIAL                       61.7999      148.2800     270      ""                                                                                                                        
FIDUCIAL3  Comment                   TopLayer    FIDUCIAL                       7.1999       148.2800     270      ""                                                                                                                        
FIDUCIAL4  Comment                   TopLayer    FIDUCIAL                       61.7999      148.2800     270      ""                                                                                                                        
FIDUCIAL1  Comment                   TopLayer    FIDUCIAL                       7.2000       -8.0000      90       ""                                                                                                                        
FIDUCIAL2  Comment                   TopLayer    FIDUCIAL                       61.8000      -8.0000      90       ""                                                                                                                        
FIDUCIAL5  Comment                   BottomLayer FIDUCIAL                       7.2000       -8.0000      90       ""                                                                                                                        
FIDUCIAL6  Comment                   BottomLayer FIDUCIAL                       61.8000      -8.0000      90       ""                                                                                                                        
R71        "10k, 1%"                 BottomLayer RES0402                        5.3000       26.6000      270      ""                                                                                                                        
R2         "2k2, 1%"                 BottomLayer RES0402                        35.4000      6.4750       0        ""                                                                                                                        
R1         "2k2, 1%"                 BottomLayer RES0402                        35.4000      5.2750       0        ""                                                                                                                        
C1         "1uF, 10V"                BottomLayer CAP0402                        37.4375      5.7250       90       ""                                                                                                                        
SB4        "Solder bridge"           BottomLayer SOLDER_BRIDGE_TRIANGULAR_V2    66.6500      2.2690       0        "Can be shorted out using solder paste or 0402-1206 resistor"                                                             
SB3        "Solder bridge"           BottomLayer SOLDER_BRIDGE_TRIANGULAR_V2    63.9250      2.2750       360      "Can be shorted out using solder paste or 0402-1206 resistor"                                                             
