Field=#~Integer~#~50|Field=Assembly Info~String~Assembly Info~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=PartType~String~PartType~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Manufacturer~String~Manufacturer~100|Field=Part Description~String~Part Description~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LimeSDR-Mini_2v3.PrjPcb|ReportField=ProjectFullPath~E:\Saniok\Lime Micro\Lime PCBs\LimeSDR_Mini_2v3_ericsson\Altium Designer design files\LimeSDR-Mini_2v3.PrjPcb|ReportField=Title~Bill of Materials For Project [LimeSDR-Mini_2v3.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~439|ReportField=ReportTime~11:24:12|ReportField=ReportDate~2023-01-18|ReportField=ReportDateTime~2023-01-18 11:24:12|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Surrey Tech Centre|ReportField=Address2~Guildford GU2 7YG|ReportField=Address3~Surrey|ReportField=Address4~United Kingdom|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2023-01-18|ReportField=CurrentTime~11:23:24|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\Saniok\Lime Micro\Lime PCBs\LimeSDR_Mini_2v3_ericsson\Altium Designer design files\Schematics\01_Block_Diagram.SchDoc|ReportField=DocumentName~01_Block_Diagram.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2023-01-17|ReportField=Organization~Lime Microsystems|ReportField=ProjectName~LimeSDR-Mini_2v3.PrjPcb|ReportField=Revision~v2.3|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~10|ReportField=Time~|ReportField=Title~Block diagram|ReportField=DataSourceFileName~LimeSDR-Mini_2v3.PrjPcb|ReportField=DataSourceFullPath~E:\Saniok\Lime Micro\Lime PCBs\LimeSDR_Mini_2v3_ericsson\Altium Designer design files\LimeSDR-Mini_2v3.PrjPcb
1|[NoValue], [NoValue], [NoValue], [NoValue], NF, NF|1uF, 10V||C1, C159, C164, C165, C186, C194|CAP0402|6||1uF, 10V|C1005X5R1E105K050BC|Digi-Key|445-9066-1-ND|TDK|1µF ±10% 10V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
2||10pF, 25V||C2, C130, C131|CAP0402|3||10pF, 25V|04023A100JAT2A|Farnell|2332478RL|AVX|10pF ±5% 25V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
3|[NoValue], [NoValue], NF, [NoValue], [NoValue], NF, NF, NF, [NoValue], NF, NF, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF|100pF, 50V||C3, C5, C7, C16, C17, C19, C20, C22, C23, C71, C84, C167, C168, C169, C170, C172, C173, C192|CAP0402|18||100pF, 50V|CC0402JRNPO9BN101|Digi-Key|311-1024-1-ND|Yageo|100pF ±5% 50V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
4|[NoValue], NF, [NoValue], [NoValue], [NoValue], NF, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, [NoValue], NF, [NoValue], NF, NF, [NoValue], [NoValue], [NoValue], [NoValue]|100nF, 16V||C4, C6, C8, C15, C18, C21, C97, C129, C132, C133, C153, C154, C155, C156, C161, C162, C163, C166, C171, C174, C175, C180, C181, C183, C185, C195, C199, MN12, MN15|CAP0402|29|GRM155R71C104KA88D|100nF, 16V|GRM155R71C104KA88D|Mouser|81-GRM155R71C104KA88|Murata Electronics|0.10µF ±10% 16V X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
5|[NoValue], [NoValue], [NoValue], [NoValue], NF, NF|47pF, 50V||C9, C12, C24, C27, C158, C160|CAP0402|6||47pF, 50V|GRM1555C1H470FA01D|Digi-Key|490-6241-1-ND|TDK Corporation|47pF ±1% 50V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
6||510pF||C10, C11, C25, C26, MN21, MN24|CAP0402|6||510pF|GRM1555C1H511JA01D|Digi-Key|490-3237-1-ND|Murata Electronics North America|510pF ±5% 50V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
7||10nF, 50V||C13, C14, C28, C29, C102, C104, C109, C113, C115, C119, C124, C146, C148, C150|CAP0402|14||10nF, 50V|GRM155R71H103KA88D|Digi-Key|490-4516-1-ND|Murata|10000pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)
8||1uF, 6.3V||C30, C32, C33, C34, C35, C36, C37, C39, C41, C43, C44, C45, C46, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C62, C63, C64, C65, C66, C67, C73, C75, C77, C79, C81, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C100, C111, C117, C122, C135, C137, C139, C141, C144, C152|CAP0201|59||1uF, 6.3V|JMK063ABJ105MP-F|Digi-Key|587-5864-2-ND|TDK Corporation|1µF ±20% 6.3V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount, MLCC 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm)
9||1nF, 10%||C31, C38, C40, C42, C47, C61, C72, C74, C76, C78, C80|CAP0201|11||1nF, 10%|C0603X7R1E102K030BA|Digi-Key|445-7275-1-ND|TDK Corporation|1000pF ±10% 25V X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm)
10|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, [NoValue], [NoValue], [NoValue]|4.7uF, 6.3V||C68, C69, C82, C83, C178, C179, C187, C190, C191, C197|CAP0402|10||4.7uF, 6.3V|GRM155R60J475ME87D|Digi-Key|490-5408-1-ND|Murata Electronics North America|4.7µF ±20% 6.3V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
